NM_URNA_CANDIDATO,SG_PARTIDO,SG_UF,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_OCUPACAO,ST_REELEICAO,NM_EMAIL,NR_CANDIDATO
RAFAEL NEVES,PDT,RJ,42.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,12027
HELIO AMAZONA,PSB,CE,64.0,MASCULINO,SUPERIOR COMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),N,NÃO DIVULGÁVEL,40357
CECÉU,PV,SP,45.0,MASCULINO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,43500
RUBINHO PINHEIRO,UNIÃO,SP,33.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,44944
WELLINGTON DO CURSO,PSC,MA,52.0,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,N,NÃO DIVULGÁVEL,20123
GEL FADEL,PTB,SC,31.0,FEMININO,ENSINO MÉDIO COMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,14007
SEANE FEITOZA,PSD,RR,36.0,FEMININO,SUPERIOR INCOMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,55678
RICARDO ALMEIDA,PSC,BA,50.0,MASCULINO,SUPERIOR COMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,20800
REGIANE RIBEIRO,PRTB,PR,28.0,FEMININO,ENSINO MÉDIO INCOMPLETO,VIGILANTE,N,NÃO DIVULGÁVEL,28444
DRA LEDA,MDB,MG,39.0,FEMININO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,15337
ENFERMEIRA SIEPIERSKI CALIMAN,PDT,ES,50.0,FEMININO,SUPERIOR COMPLETO,ENFERMEIRO,N,NÃO DIVULGÁVEL,12002
DELVITO ALVES,PP,MG,67.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,11676
RAQUEL PORTIOLI,PRTB,MS,51.0,FEMININO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,28888
SILVANO AMARAL,MDB,MT,54.0,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,15123
RAMON BARAÚNA,MDB,RJ,38.0,MASCULINO,SUPERIOR INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,15155
EDUARDO THOMAZ,PL,SP,41.0,MASCULINO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,22556
MACILIO NUNES,PL,RJ,54.0,MASCULINO,ENSINO MÉDIO INCOMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,22962
JORGE ALFREDO,PATRIOTA,SP,57.0,MASCULINO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,51545
RODINEI CANDEIA,REPUBLICANOS,RS,56.0,MASCULINO,SUPERIOR COMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,10777
MARCELLO GUERREIRO,AVANTE,RJ,53.0,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,70944
CORONEL MOTOOKA,REPUBLICANOS,SP,53.0,MASCULINO,SUPERIOR COMPLETO,POLICIAL MILITAR,N,NÃO DIVULGÁVEL,10980
GABRIEL MENEZES,PATRIOTA,PE,40.0,MASCULINO,ENSINO MÉDIO COMPLETO,LOCUTOR E COMENTARISTA DE RÁDIO E TELEVISÃO E RADIALISTA,N,NÃO DIVULGÁVEL,51500
FRANCISCO FRAZÃO,PL,MG,67.0,MASCULINO,SUPERIOR COMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,22450
LILI CHIARELLI,REPUBLICANOS,SP,51.0,FEMININO,SUPERIOR COMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,10318
JOÃO DOS SANTOS,SOLIDARIEDADE,PB,72.0,MASCULINO,ENSINO MÉDIO COMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),N,NÃO DIVULGÁVEL,77456
THIAGUINHO MALA MANSA,AVANTE,CE,39.0,MASCULINO,ENSINO MÉDIO COMPLETO,CANTOR E COMPOSITOR,N,NÃO DIVULGÁVEL,70200
TONHO DO POVÃO,SOLIDARIEDADE,PE,49.0,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,77666
MICHELE MONTEIRO,PTB,PR,32.0,FEMININO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,14070
PAULO GONÇALVES GOGÓ,PROS,SP,58.0,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,MOTORISTA DE VEÍCULOS DE TRANSPORTE DE CARGA,N,NÃO DIVULGÁVEL,90722
LETICIA ARSENIO,PODE,RJ,28.0,FEMININO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,19019
ZIER FERRER,PMN,CE,61.0,MASCULINO,ENSINO MÉDIO COMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,33456
MAURICIO TREVO LAJES,PC do B,PE,40.0,MASCULINO,ENSINO MÉDIO COMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,65333
LAZINHO DA FETAGRO,PSB,RO,63.0,MASCULINO,ENSINO MÉDIO COMPLETO,AGRICULTOR,S,NÃO DIVULGÁVEL,40444
NILSON LACERDA,UNIÃO,PB,58.0,MASCULINO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO ESTADUAL,N,NÃO DIVULGÁVEL,44045
PROFESSOR ALESSANDRO,PT,SC,44.0,MASCULINO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO ESTADUAL,N,NÃO DIVULGÁVEL,13456
CARLINHOS DO BAYEUX JOVEM,SOLIDARIEDADE,PB,50.0,MASCULINO,ENSINO MÉDIO COMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,77700
HILMAR ALVES,PDT,CE,51.0,MASCULINO,SUPERIOR INCOMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,12684
RICARDO WOLOSKER,PSDB,RJ,45.0,MASCULINO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO MUNICIPAL,N,NÃO DIVULGÁVEL,45170
ALEXANDRE MELO,PDT,GO,47.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,12233
WELLINGTON SOUSA,REDE,PB,50.0,MASCULINO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,18999
PR MARCOS MANSUR,PSDB,ES,60.0,MASCULINO,SUPERIOR COMPLETO,PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS,N,NÃO DIVULGÁVEL,45500
PROFESSORA NILSE,PDT,PA,62.0,FEMININO,SUPERIOR COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,12345
MARCOS NEVES,PTB,RO,51.0,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,14999
JOAQUIM NOGUEIRA,MDB,PA,59.0,MASCULINO,ENSINO MÉDIO INCOMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,15800
DR HERY,SOLIDARIEDADE,SP,37.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,77788
ARTUR RIBEIRO,PSC,TO,59.0,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,20900
SANDRA SOUZA,PMB,AM,46.0,FEMININO,ENSINO MÉDIO COMPLETO,SERVIDOR PÚBLICO MUNICIPAL,N,NÃO DIVULGÁVEL,35333
MARCIO ANTONI,NOVO,SP,44.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,30878
RECK JUNIOR,PSD,MT,42.0,MASCULINO,SUPERIOR INCOMPLETO,AGRICULTOR,N,NÃO DIVULGÁVEL,55055
ZENITA CASTRO,MDB,AM,63.0,FEMININO,ENSINO FUNDAMENTAL COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,15002
MARCELO MECANICO,PODE,RS,47.0,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,19129
MAIKA DO CARMO,PSD,RR,36.0,FEMININO,SUPERIOR COMPLETO,PEDAGOGO,N,NÃO DIVULGÁVEL,55432
SUBTENENTE RIBEIRO,AGIR,RJ,48.0,MASCULINO,ENSINO MÉDIO COMPLETO,POLICIAL MILITAR,N,NÃO DIVULGÁVEL,36911
JALMIR JÚNIOR,PRTB,RJ,39.0,MASCULINO,SUPERIOR COMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,28888
JUNINHO BARBEIRO,PP,MG,49.0,MASCULINO,ENSINO MÉDIO COMPLETO,CABELEIREIRO E BARBEIRO,N,NÃO DIVULGÁVEL,11115
DARLINDO ARTESÃO,CIDADANIA,PA,63.0,MASCULINO,ENSINO MÉDIO COMPLETO,ARTESÃO,N,NÃO DIVULGÁVEL,23123
ELIANE DIAS,DC,GO,53.0,FEMININO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,27750
RAFAEL GOMES,PSOL,GO,34.0,MASCULINO,SUPERIOR COMPLETO,MÚSICO,N,NÃO DIVULGÁVEL,50321
ROSANA SCANDIAN,PODE,SE,39.0,FEMININO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,19900
EDUARDO CARVALHAL,PL,BA,40.0,MASCULINO,SUPERIOR INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,22722
MAGUI AYRES,REDE,AP,39.0,MASCULINO,SUPERIOR COMPLETO,GEÓGRAFO,N,NÃO DIVULGÁVEL,18018
DR JACI,CIDADANIA,AP,73.0,MASCULINO,SUPERIOR COMPLETO,MÉDICO,N,NÃO DIVULGÁVEL,23100
HELANE RIBEIRO,PRTB,MS,64.0,FEMININO,SUPERIOR COMPLETO,ODONTÓLOGO,N,NÃO DIVULGÁVEL,28111
JÓIA BRAGA,PDT,AM,58.0,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,12123
DE PAULA,PSD,MG,55.0,MASCULINO,SUPERIOR INCOMPLETO,ADMINISTRADOR,N,NÃO DIVULGÁVEL,55968
CORONEL RELDER,PSC,SP,51.0,MASCULINO,SUPERIOR COMPLETO,MILITAR REFORMADO,N,NÃO DIVULGÁVEL,20777
JUSMARI OLIVEIRA,PSD,BA,59.0,FEMININO,SUPERIOR COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,55321
CELSO STROBEL,NOVO,SC,64.0,MASCULINO,SUPERIOR COMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),N,NÃO DIVULGÁVEL,30333
PASTOR ARNALDO BARROS,PODE,AC,53.0,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,19456
CACIQUE SRÊWÊ XERENTE,PATRIOTA,TO,50.0,MASCULINO,ENSINO MÉDIO COMPLETO,SERVIDOR PÚBLICO ESTADUAL,N,NÃO DIVULGÁVEL,51777
JOEL GALDINO,PP,PE,39.0,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,11234
TATY,PSB,RS,49.0,FEMININO,SUPERIOR COMPLETO,TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO),N,NÃO DIVULGÁVEL,40020
CORONEL MARDOCK,PL,PA,53.0,MASCULINO,SUPERIOR COMPLETO,POLICIAL MILITAR,N,NÃO DIVULGÁVEL,22190
FRED,PODE,MS,40.0,MASCULINO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,19033
INSTRUTOR RODRIGUES,PATRIOTA,SP,52.0,MASCULINO,SUPERIOR INCOMPLETO,PROFESSOR E INSTRUTOR DE FORMAÇÃO PROFISSIONAL,N,NÃO DIVULGÁVEL,51132
FERNANDO TAVARES,PATRIOTA,RJ,45.0,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,51100
MARCOS BAXIM,PSB,PA,38.0,MASCULINO,SUPERIOR COMPLETO,PRODUTOR AGROPECUÁRIO,N,NÃO DIVULGÁVEL,40123
SHEILA KLENER,PSDB,MT,48.0,FEMININO,SUPERIOR COMPLETO,GEÓLOGO,N,NÃO DIVULGÁVEL,45000
VIVIAN SOARES,REPUBLICANOS,SP,41.0,FEMININO,ENSINO MÉDIO COMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,10014
NINHAS BAR,PODE,SE,53.0,FEMININO,ENSINO FUNDAMENTAL COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,19666
GERSON LEAL,PMN,GO,50.0,MASCULINO,ENSINO MÉDIO COMPLETO,TAPECEIRO,N,NÃO DIVULGÁVEL,33555
THOMÁS CORREA,PSOL,RR,25.0,MASCULINO,SUPERIOR COMPLETO,PROFESSOR DE ENSINO MÉDIO,N,NÃO DIVULGÁVEL,50555
ZEZE SANTANA,PMB,TO,59.0,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,35777
CEL MENDONÇA,REPUBLICANOS,MG,59.0,MASCULINO,SUPERIOR COMPLETO,MILITAR REFORMADO,N,NÃO DIVULGÁVEL,10190
AUDREY GOGLIANO,PTB,SP,57.0,FEMININO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,14130
LUISÃO CRUZ,PDT,SP,50.0,MASCULINO,ENSINO MÉDIO INCOMPLETO,"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",N,NÃO DIVULGÁVEL,12377
COMANDANTE DAN,PSC,AM,57.0,MASCULINO,SUPERIOR COMPLETO,POLICIAL MILITAR,N,NÃO DIVULGÁVEL,20022
GISELE ALVES,PROS,RR,46.0,FEMININO,SUPERIOR COMPLETO,FARMACÊUTICO,N,NÃO DIVULGÁVEL,90789
SHEILA GOMES,UNIÃO,GO,38.0,FEMININO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,44300
CAFÉ,PDT,MS,60.0,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,POLICIAL MILITAR,N,NÃO DIVULGÁVEL,12190
EVANDRO LEITÃO,PDT,CE,55.0,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,12000
NELI CUSTÓDIO,PSC,SC,46.0,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,20999
THAISA CARNEIRO,AGIR,BA,33.0,FEMININO,ENSINO MÉDIO COMPLETO,ADMINISTRADOR,N,NÃO DIVULGÁVEL,36555
ZORAIDA LOBATO,MDB,SP,60.0,FEMININO,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,15060
GIPÃO,PL,TO,50.0,MASCULINO,SUPERIOR COMPLETO,ADMINISTRADOR,N,NÃO DIVULGÁVEL,22444
INÁCIO MELO,PSDB,MA,47.0,MASCULINO,SUPERIOR COMPLETO,ADMINISTRADOR,N,NÃO DIVULGÁVEL,45555
ITAMARA SOUZA,PV,AC,34.0,FEMININO,SUPERIOR INCOMPLETO,"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",N,NÃO DIVULGÁVEL,43123
SIMONE LERNER,PL,SC,36.0,FEMININO,ENSINO MÉDIO COMPLETO,VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA,N,NÃO DIVULGÁVEL,22202
FÁTIMA CASTRO,PROS,PR,46.0,FEMININO,SUPERIOR COMPLETO,ASSISTENTE SOCIAL,N,NÃO DIVULGÁVEL,90444
FERNANDINA,UNIÃO,PR,43.0,FEMININO,ENSINO FUNDAMENTAL COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,44055
WILSON,AGIR,CE,49.0,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,36122
HÉLIO GUILHERME,REPUBLICANOS,ES,41.0,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,10789
REGINA KREUSBURG,PL,RS,64.0,FEMININO,ENSINO MÉDIO COMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),N,NÃO DIVULGÁVEL,22999
VALDI TARTARUGA,PL,PB,53.0,MASCULINO,LÊ E ESCREVE,COMERCIANTE,N,NÃO DIVULGÁVEL,22888
FLAVIO MACIEL,SOLIDARIEDADE,RS,49.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,77222
EDSON BAIANINHO,SOLIDARIEDADE,PR,58.0,MASCULINO,ENSINO MÉDIO INCOMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,77890
ELI CORCINIO,PL,SE,43.0,FEMININO,SUPERIOR INCOMPLETO,"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",N,NÃO DIVULGÁVEL,22700
JURACY SODRÉ,PL,PI,63.0,MASCULINO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO FEDERAL,N,NÃO DIVULGÁVEL,22555
RAFAEL BUENO,PL,GO,40.0,MASCULINO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO FEDERAL,N,NÃO DIVULGÁVEL,22122
LUIS DE DEUS,DC,PA,69.0,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,FOTÓGRAFO E ASSEMELHADOS,N,NÃO DIVULGÁVEL,27000
CAMILA PRETA,PDT,MG,33.0,FEMININO,ENSINO MÉDIO INCOMPLETO,GARI OU LIXEIRO,N,NÃO DIVULGÁVEL,12220
RICARDO FRANCESCHINI,PRTB,PB,40.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,28800
MAURA BARROSO,PSD,MA,56.0,FEMININO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO ESTADUAL,N,NÃO DIVULGÁVEL,55444
HERCULES,MDB,ES,59.0,MASCULINO,SUPERIOR COMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),N,NÃO DIVULGÁVEL,15100
MARCOS CALDAS,PROS,MA,56.0,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,90000
BRUNO PEREIRA,PATRIOTA,PE,39.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,51456
FERRUGEM DAS RESISTÊNCIAS,PATRIOTA,BA,52.0,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,51255
LAURO DAVI,PSB,MS,66.0,MASCULINO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,40789
BRANCA DO AÇAÍ,MDB,ES,57.0,FEMININO,ENSINO FUNDAMENTAL COMPLETO,DONA DE CASA,N,NÃO DIVULGÁVEL,15888
DARCY CAMINHONEIRO,PSB,PR,50.0,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,MOTORISTA DE VEÍCULOS DE TRANSPORTE DE CARGA,N,NÃO DIVULGÁVEL,40147
IRMÃO HELITON DO PÉROLA,PDT,RR,33.0,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,12525
GABI VASCONCELOS,PATRIOTA,MG,38.0,FEMININO,ENSINO MÉDIO COMPLETO,CABELEIREIRO E BARBEIRO,N,NÃO DIVULGÁVEL,51332
MANOEL MACHADO,PSC,RS,68.0,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,20029
SOLDADO MONTEIRO,PL,PR,43.0,MASCULINO,SUPERIOR INCOMPLETO,MINISTRO DE ESTADO,N,NÃO DIVULGÁVEL,22277
NATHALIA CARVALHO,REPUBLICANOS,RJ,34.0,FEMININO,SUPERIOR INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,10003
CORONEL MALUCELLI,PP,PR,71.0,MASCULINO,SUPERIOR COMPLETO,POLICIAL MILITAR,N,NÃO DIVULGÁVEL,11123
BIRA CAMINHONEIRO,AGIR,SP,60.0,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,36640
ERNANDO PEIXOTO,REPUBLICANOS,BA,63.0,MASCULINO,ENSINO MÉDIO COMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,10122
SILVIO ALEXANDRE ZANCANARO,PSD,SC,46.0,MASCULINO,SUPERIOR COMPLETO,CONTADOR,N,NÃO DIVULGÁVEL,55444
DANNIEL OLIVEIRA,MDB,CE,40.0,MASCULINO,ENSINO MÉDIO COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,15333
CAMILINHO FRANCO,MDB,PB,36.0,MASCULINO,SUPERIOR COMPLETO,ADMINISTRADOR,N,NÃO DIVULGÁVEL,15111
LUIZINHO DA AUTO ESCOLA,SOLIDARIEDADE,SP,65.0,MASCULINO,ENSINO MÉDIO COMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),N,NÃO DIVULGÁVEL,77400
MANIN DO ZORRA,PL,TO,42.0,MASCULINO,SUPERIOR INCOMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,22222
CAPITÃO MACEDO PROFESSOR,PL,RS,63.0,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,22022
BRUNA KARINA,UNIÃO,PE,30.0,FEMININO,SUPERIOR INCOMPLETO,ADMINISTRADOR,N,NÃO DIVULGÁVEL,44400
BRITO,REDE,MS,50.0,MASCULINO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,18123
PAI BRANCO,SOLIDARIEDADE,RS,35.0,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,77887
LUCIENE,MDB,SP,46.0,FEMININO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,15451
NELCI BARREIROS,MDB,MG,67.0,FEMININO,LÊ E ESCREVE,APOSENTADO (EXCETO SERVIDOR PÚBLICO),N,NÃO DIVULGÁVEL,15160
PASTORA LILIAN ALVES,REPUBLICANOS,SP,58.0,FEMININO,ENSINO MÉDIO COMPLETO,SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA,N,NÃO DIVULGÁVEL,10224
RODRIGO MARONI DOS ANIMAIS,PSDB,RS,41.0,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,45000
EDNELSON CHAPA ESPERANÇA E FÉ,PDT,SP,51.0,MASCULINO,ENSINO MÉDIO COMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,12999
BELLA GONÇALVES,PSOL,MG,34.0,FEMININO,SUPERIOR COMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,50500
SUELI MARTINEZ,UNIÃO,PA,54.0,FEMININO,ENSINO MÉDIO INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,44440
MICHEL CARMONA,PROS,RJ,41.0,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,90121
CORONEL RONALDO FLÔRES,PSD,RO,55.0,MASCULINO,SUPERIOR COMPLETO,POLICIAL MILITAR,N,NÃO DIVULGÁVEL,55001
DR MOHAMED YOUSSEF,MDB,SP,50.0,MASCULINO,SUPERIOR COMPLETO,MÉDICO,N,NÃO DIVULGÁVEL,15015
SILVANA MAIA,PRTB,MG,61.0,FEMININO,ENSINO MÉDIO COMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,28019
DR GILMAR,DC,MG,51.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,27010
MANOEL DO POVO,PMB,TO,62.0,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,AGRICULTOR,N,NÃO DIVULGÁVEL,35210
GEORGE TAKIMOTO,MDB,MS,81.0,MASCULINO,SUPERIOR COMPLETO,MÉDICO,N,NÃO DIVULGÁVEL,15115
PAULO CESAR O NOVO,PTB,MS,46.0,MASCULINO,SUPERIOR COMPLETO,CONTADOR,N,NÃO DIVULGÁVEL,14128
RAIR ANICIO,PSTU,MG,48.0,MASCULINO,SUPERIOR COMPLETO,COMERCIÁRIO,N,NÃO DIVULGÁVEL,16016
EDNA PIRES,PATRIOTA,RJ,57.0,FEMININO,ENSINO MÉDIO COMPLETO,DONA DE CASA,N,NÃO DIVULGÁVEL,51223
CANTOR IRISVALDO SILVA,PSD,AL,51.0,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CANTOR E COMPOSITOR,N,NÃO DIVULGÁVEL,55800
MIGUEL ROSSETTO,PT,RS,62.0,MASCULINO,SUPERIOR COMPLETO,SOCIÓLOGO,N,NÃO DIVULGÁVEL,13000
DR. RENATO MARTINS,PTB,SP,57.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,14200
NICOLLE BARBOSA,UNIÃO,CE,50.0,FEMININO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,44776
PASTORA AGRICOLA CARRERA,PL,PA,49.0,FEMININO,ENSINO MÉDIO COMPLETO,CABELEIREIRO E BARBEIRO,N,NÃO DIVULGÁVEL,22120
MÁRIO GOMES,PSOL,BA,36.0,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,MECÂNICO DE MANUTENÇÃO,N,NÃO DIVULGÁVEL,50133
JHENNIFFER BREENSTUP,REPUBLICANOS,SC,33.0,FEMININO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,10150
RÔMULO FERNANDES,PT,SP,60.0,MASCULINO,SUPERIOR COMPLETO,SOCIÓLOGO,N,NÃO DIVULGÁVEL,13789
MIRO CARVALHO,PDT,BA,41.0,MASCULINO,SUPERIOR INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,12500
PAULO MATOS,SOLIDARIEDADE,PR,62.0,MASCULINO,SUPERIOR COMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,77100
WOLMIR AGUIAR,SOLIDARIEDADE,PR,50.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,77000
CORONEL JAIRO,SOLIDARIEDADE,RJ,73.0,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,77123
RISLAYNE SOUZA,PDT,PE,43.0,FEMININO,SUPERIOR INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,12321
EVANDRO AGOSTINI,PSB,SC,40.0,MASCULINO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,40210
IRANI GARI,MDB,ES,53.0,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,GARI OU LIXEIRO,N,NÃO DIVULGÁVEL,15222
MAURICIO DO CHALÉ,PATRIOTA,AC,37.0,MASCULINO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,51000
MAINARDI,PT,RS,62.0,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,N,NÃO DIVULGÁVEL,13555
JADE CRISTINA,PATRIOTA,MG,36.0,FEMININO,SUPERIOR INCOMPLETO,PROFESSOR DE ENSINO FUNDAMENTAL,N,NÃO DIVULGÁVEL,51555
