NM_URNA_CANDIDATO,SG_PARTIDO,SG_UF,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_OCUPACAO,ST_REELEICAO,NM_EMAIL,NR_CANDIDATO
GILSINHO DA INFORNET,PSB,MG,45.0,MASCULINO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,40777
ALE TESOURA,PROS,SP,44.0,MASCULINO,SUPERIOR INCOMPLETO,DECORADOR,N,NÃO DIVULGÁVEL,90123
ANDRÉ CORREA,PP,RJ,59.0,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,11321
IDEALES SEBEN,PTB,MS,36.0,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,14357
JULIAO DA CONCEIÇAO,PP,MG,55.0,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,VIGILANTE,N,NÃO DIVULGÁVEL,11625
CLAU ALVES,PRTB,AP,38.0,FEMININO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,28199
JANI SOUZA,PDT,AL,56.0,FEMININO,ENSINO MÉDIO INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,12020
SAMARA DO LINO,REPUBLICANOS,RJ,39.0,FEMININO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,10200
ALAN JOSE,PODE,RJ,56.0,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,19111
BISPA ANDREA CARVALHO,PATRIOTA,RJ,45.0,FEMININO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,51300
MARIO GALINHO,PSDB,BA,36.0,MASCULINO,ENSINO MÉDIO COMPLETO,MECÂNICO DE MANUTENÇÃO,N,NÃO DIVULGÁVEL,45222
TOM ARAUJO,PSB,SP,52.0,MASCULINO,SUPERIOR COMPLETO,POLICIAL CIVIL,N,NÃO DIVULGÁVEL,40234
DRA LORES,AVANTE,SP,56.0,FEMININO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,70029
ALESSANDRA TRINDADE,PTB,ES,43.0,FEMININO,SUPERIOR COMPLETO,ASSISTENTE SOCIAL,N,NÃO DIVULGÁVEL,14554
PASTORA MARILZA ATALAIA,PL,SP,53.0,FEMININO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,22400
